날짜,시가총액,거래량,거래대금,상장주식수
2023-06-07,1718089754000,17794,7120430500,4327682
2023-06-08,1700779026000,24133,9544902500,4327682
2023-06-09,1683468298000,24221,9446512000,4327682
2023-06-12,1685632139000,17123,6691930500,4327682
2023-06-13,1683468298000,26507,10403138000,4327682
2023-06-14,1681304457000,22371,8707880000,4327682
2023-06-15,1644519160000,24694,9400684000,4327682
2023-06-16,1661829888000,17918,6862138500,4327682
2023-06-19,1705106708000,24255,9512877000,4327682
2023-06-20,1830609486000,94981,39843488500,4327682
2023-06-21,1795988030000,29017,12067120500,4327682
2023-06-22,1830609486000,33732,14291130000,4327682
2023-06-23,1746219687000,28924,11839386500,4327682
2023-06-26,1761366574000,14885,6109356500,4327682
2023-06-27,1778677302000,17786,7332659000,4327682
2023-06-28,1774349620000,21637,8963311500,4327682
2023-06-29,1681304457000,37179,14691105500,4327682
2023-06-30,1648846842000,30454,11675323000,4327682
2023-07-03,1644519160000,54728,20363574500,4327682
2023-07-04,1596914658000,41639,15492215000,4327682
2023-07-05,1542818633000,54279,19537083500,4327682
2023-07-06,1493050290000,53238,18385508500,4327682
2023-07-07,1469248039000,51249,17115716000,4327682
2023-07-10,1490886449000,33597,11653968000,4327682
2023-07-11,1525507905000,32950,11642001000,4327682
2023-07-12,1536327110000,25175,9005222000,4327682
2023-07-13,1527671746000,20701,7323663000,4327682
2023-07-14,1534163269000,14603,5151473000,4327682
2023-07-17,1527671746000,13170,4665772000,4327682
2023-07-18,1506033336000,25009,8614262500,4327682
2023-07-19,1482231085000,31498,10830174500,4327682
2023-07-20,1525507905000,44660,15906541000,4327682
2023-07-21,1510361018000,16319,5672240500,4327682
2023-07-24,1501705654000,22518,7762185500,4327682
2023-07-25,1506033336000,20647,7151482500,4327682
2023-07-26,1460592675000,38760,13134931000,4327682
2023-07-27,1473575721000,21356,7256399500,4327682
2023-07-28,1447609629000,22150,7346702000,4327682
2023-07-31,1469248039000,52575,18036261500,4327682
2023-08-01,1497377972000,34362,11938113500,4327682
2023-08-02,1519016382000,38835,13656432500,4327682
2023-08-03,1495214131000,35256,12094555500,4327682
2023-08-04,1525507905000,20481,7217426000,4327682
2023-08-07,1471411880000,21220,7222131000,4327682
2023-08-08,1497377972000,19473,6769578500,4327682
2023-08-09,1469248039000,22307,7553334000,4327682
2023-08-10,1467084198000,23364,7824236500,4327682
2023-08-11,1473575721000,15064,5112836500,4327682
2023-08-14,1406496650000,29305,9637110000,4327682
2023-08-16,1371875194000,24502,7768058500,4327682
2023-08-17,1369711353000,14018,4387777000,4327682
2023-08-18,1382694399000,10536,3341741000,4327682
2023-08-21,1393513604000,10248,3300914000,4327682
2023-08-22,1387022081000,12917,4137756500,4327682
2023-08-23,1371875194000,7699,2452198500,4327682
2023-08-24,1382694399000,13159,4150706000,4327682
2023-08-25,1358892148000,10984,3442289000,4327682
2023-08-28,1406496650000,20989,6821141500,4327682
