날짜,BPS,PER,PBR,EPS,DIV,DPS
2024-06-19,740,0.0,25.0,0,0.0,0
2024-06-20,740,0.0,23.54,0,0.0,0
2024-06-21,740,0.0,23.72,0,0.0,0
2024-06-24,740,0.0,21.39,0,0.0,0
2024-06-25,740,0.0,20.84,0,0.0,0
2024-06-26,740,0.0,21.31,0,0.0,0
2024-06-27,740,0.0,20.73,0,0.0,0
2024-06-28,740,0.0,18.99,0,0.0,0
2024-07-01,740,0.0,17.84,0,0.0,0
2024-07-02,740,0.0,16.38,0,0.0,0
2024-07-03,740,0.0,16.09,0,0.0,0
2024-07-04,740,0.0,16.01,0,0.0,0
2024-07-05,740,0.0,16.62,0,0.0,0
2024-07-08,740,0.0,16.92,0,0.0,0
2024-07-09,740,0.0,16.77,0,0.0,0
2024-07-10,740,0.0,17.28,0,0.0,0
2024-07-11,740,0.0,16.57,0,0.0,0
2024-07-12,740,0.0,16.64,0,0.0,0
2024-07-15,740,0.0,16.41,0,0.0,0
2024-07-16,740,0.0,17.34,0,0.0,0
2024-07-17,740,0.0,16.16,0,0.0,0
2024-07-18,740,0.0,14.78,0,0.0,0
2024-07-19,740,0.0,15.34,0,0.0,0
2024-07-22,740,0.0,15.14,0,0.0,0
2024-07-23,740,0.0,15.07,0,0.0,0
2024-07-24,740,0.0,15.45,0,0.0,0
2024-07-25,740,0.0,14.81,0,0.0,0
2024-07-26,740,0.0,14.84,0,0.0,0
2024-07-29,740,0.0,14.8,0,0.0,0
2024-07-30,740,0.0,14.86,0,0.0,0
2024-07-31,740,0.0,14.82,0,0.0,0
2024-08-01,740,0.0,15.5,0,0.0,0
2024-08-02,740,0.0,14.66,0,0.0,0
2024-08-05,740,0.0,12.41,0,0.0,0
2024-08-06,740,0.0,12.91,0,0.0,0
2024-08-07,740,0.0,13.26,0,0.0,0
2024-08-08,740,0.0,13.84,0,0.0,0
2024-08-09,740,0.0,13.82,0,0.0,0
2024-08-12,740,0.0,14.15,0,0.0,0
2024-08-13,740,0.0,13.89,0,0.0,0
2024-08-14,740,0.0,14.53,0,0.0,0
2024-08-16,740,0.0,14.42,0,0.0,0
2024-08-19,740,0.0,14.7,0,0.0,0
2024-08-20,740,0.0,15.69,0,0.0,0
2024-08-21,740,0.0,15.07,0,0.0,0
2024-08-22,740,0.0,14.46,0,0.0,0
2024-08-23,740,0.0,15.08,0,0.0,0
2024-08-26,740,0.0,14.8,0,0.0,0
2024-08-27,740,0.0,15.14,0,0.0,0
2024-08-28,740,0.0,15.64,0,0.0,0
2024-08-29,740,0.0,15.88,0,0.0,0
2024-08-30,740,0.0,17.3,0,0.0,0
2024-09-02,740,0.0,18.78,0,0.0,0
2024-09-03,740,0.0,18.59,0,0.0,0
2024-09-04,740,0.0,17.78,0,0.0,0
2024-09-05,740,0.0,18.91,0,0.0,0
2024-09-06,740,0.0,18.12,0,0.0,0
2024-09-09,740,0.0,17.57,0,0.0,0
2024-09-10,740,0.0,18.16,0,0.0,0
2024-09-11,740,0.0,20.09,0,0.0,0
2024-09-12,740,0.0,20.2,0,0.0,0
2024-09-13,740,0.0,20.69,0,0.0,0
2024-09-19,740,0.0,20.78,0,0.0,0
2024-09-20,740,0.0,20.95,0,0.0,0
2024-09-23,740,0.0,19.73,0,0.0,0
2024-09-24,740,0.0,20.42,0,0.0,0
2024-09-25,740,0.0,19.69,0,0.0,0
2024-09-26,740,0.0,19.64,0,0.0,0
2024-09-27,740,0.0,19.19,0,0.0,0
2024-09-30,740,0.0,18.07,0,0.0,0
2024-10-02,740,0.0,17.96,0,0.0,0
2024-10-04,740,0.0,18.8,0,0.0,0
2024-10-07,740,0.0,18.89,0,0.0,0
2024-10-08,740,0.0,20.0,0,0.0,0
2024-10-10,740,0.0,20.16,0,0.0,0
2024-10-11,740,0.0,19.85,0,0.0,0
2024-10-14,740,0.0,20.16,0,0.0,0
2024-10-15,740,0.0,19.47,0,0.0,0
2024-10-16,740,0.0,19.19,0,0.0,0
2024-10-17,740,0.0,18.95,0,0.0,0
2024-10-18,740,0.0,19.01,0,0.0,0
2024-10-21,740,0.0,18.84,0,0.0,0
2024-10-22,740,0.0,17.54,0,0.0,0
2024-10-23,740,0.0,17.58,0,0.0,0
2024-10-24,740,0.0,17.31,0,0.0,0
2024-10-25,740,0.0,16.49,0,0.0,0
2024-10-28,740,0.0,16.95,0,0.0,0
2024-10-29,740,0.0,16.15,0,0.0,0
2024-10-30,740,0.0,16.05,0,0.0,0
2024-10-31,740,0.0,15.85,0,0.0,0
2024-11-01,740,0.0,14.97,0,0.0,0
