종목코드,종목명,업종명,종가,대비,등락률,시가총액,market
095570,AJ네트웍스,일반서비스,4275,-70.0,-1.61,193455544725,KOSPI
006840,AK홀딩스,기타금융,6600,-290.0,-4.21,87433902600,KOSPI
027410,BGF,기타금융,4270,-25.0,-0.58,408710697570,KOSPI
282330,BGF리테일,유통,129400,400.0,0.31,2236537436400,KOSPI
138930,BNK금융지주,기타금융,17240,-30.0,-0.17,5350038048920,KOSPI
001460,BYC,섬유·의류,36750,600.0,1.66,229546012500,KOSPI
001465,BYC우,섬유·의류,25000,-100.0,-0.4,53846250000,KOSPI
001040,CJ,기타금융,183800,6800.0,3.84,5362732232400,KOSPI
079160,CJ CGV,오락·문화,4490,80.0,1.81,743464908650,KOSPI
00104K,CJ4우(전환),기타금융,165000,4200.0,2.61,697374480000,KOSPI
000120,CJ대한통운,운송·창고,81900,-700.0,-0.85,1868330973600,KOSPI
011150,CJ씨푸드,음식료·담배,2070,-50.0,-2.36,74376700110,KOSPI
011155,CJ씨푸드1우,음식료·담배,9870,-820.0,-7.67,1974000000,KOSPI
001045,CJ우,기타금융,80400,-1500.0,-1.83,181721929200,KOSPI
097950,CJ제일제당,음식료·담배,200000,-1000.0,-0.5,3010837200000,KOSPI
097955,CJ제일제당 우,음식료·담배,123100,-1300.0,-1.05,163407002300,KOSPI
000480,CR홀딩스,비금속,4685,-20.0,-0.43,219681945650,KOSPI
000590,CS홀딩스,기타금융,70300,-1800.0,-2.5,81160084600,KOSPI
012030,DB,IT 서비스,1886,-107.0,-5.37,379414037638,KOSPI
005830,DB손해보험,보험,142400,-2300.0,-1.59,9327249697600,KOSPI
016610,DB증권,증권,10850,-180.0,-1.63,460543320650,KOSPI
000990,DB하이텍,전기·전자,173800,-2600.0,-1.47,7561097394400,KOSPI
000300,DH오토넥스,운송장비·부품,4200,0.0,0.0,174035631000,KOSPI
001530,DI동일,유통,23300,-200.0,-0.85,482673969300,KOSPI
015590,DKME,기계·장비,2355,-40.0,-1.67,125748305340,KOSPI
000210,DL,화학,50100,-1100.0,-2.15,1049889788400,KOSPI
000215,DL우,화학,22150,-500.0,-2.21,37347447250,KOSPI
375500,DL이앤씨,건설,71900,400.0,0.56,2782071493700,KOSPI
