티커,상장주식수,보유수량,지분율,한도수량,한도소진률
0001A0,24791195,355110,1.43,24791195,1.43
000250,23457472,1545744,6.59,23457472,6.59
000440,6227130,192279,3.09,6227130,3.09
0004V0,10404468,284645,2.74,10404468,2.74
0004Y0,5315000,17920,0.34,5315000,0.34
0007C0,8030324,242800,3.02,8030324,3.02
0007J0,7865714,220123,2.8,7865714,2.8
0008Z0,9436564,870960,9.23,9436564,9.23
0009K0,64671161,1145299,1.77,64671161,1.77
001000,24277540,1395691,5.75,24277540,5.75
0010F0,11143601,499942,4.49,11143601,4.49
0010V0,5105400,57731,1.13,5105400,1.13
0011A0,9333740,235880,2.53,9333740,2.53
0011T0,46949591,1869112,3.98,46949591,3.98
0013V0,9918656,128224,1.29,9918656,1.29
001540,13042420,617467,4.73,13042420,4.73
0015G0,11702541,741007,6.33,11702541,6.33
0015N0,12715050,554879,4.36,12715050,4.36
0015S0,9866730,227684,2.31,9866730,2.31
001810,22137500,306262,1.38,22137500,1.38
001840,28256809,162295,0.57,28256809,0.57
002230,18705320,1397658,7.47,18705320,7.47
002290,12400000,516211,4.16,12400000,4.16
002680,32316799,1014992,3.14,32316799,3.14
002800,15170500,713544,4.7,15170500,4.7
003100,6600000,503146,7.62,6600000,7.62
003310,35392350,3909682,11.05,35392350,11.05
003380,112005621,10180451,9.09,112005621,9.09
0037T0,6330000,38798,0.61,6330000,0.61
003800,11090000,206904,1.87,11090000,1.87
0041B0,5040000,0,0.0,5040000,0.0
0041J0,4110000,0,0.0,4110000,0.0
0041L0,6030000,30791,0.51,6030000,0.51
0044K0,7520000,46649,0.62,7520000,0.62
004590,15000000,795165,5.3,15000000,5.3
004650,9190885,176340,1.92,9190885,1.92
004780,15903199,600741,3.78,15903199,3.78
005160,54244482,1027364,1.89,54244482,1.89
005290,50970126,8818049,17.3,50970126,17.3
0054V0,6216500,22496,0.36,6216500,0.36
005670,10000000,308351,3.08,10000000,3.08
005710,20037600,2890142,14.42,20037600,14.42
005860,39403685,2524444,6.41,39403685,6.41
005990,13298304,155000,1.17,13298304,1.17
006050,34895243,2595876,7.44,34895243,7.44
006140,14865000,450362,3.03,14865000,3.03
006620,28464992,503702,1.77,28464992,1.77
006730,64926923,12843587,19.78,64926923,19.78
0068Y0,4310000,19972,0.46,4310000,0.46
006910,49129824,4150570,8.45,49129824,8.45
006920,10920000,390013,3.57,10920000,3.57
0071M0,5760000,24258,0.42,5760000,0.42
0072Z0,7885000,405118,5.14,7885000,5.14
007330,15082800,323569,2.15,15082800,2.15
007370,14134587,329324,2.33,14134587,2.33
007390,64435056,5854722,9.09,64435056,9.09
007530,22254231,86061,0.39,22254231,0.39
007680,13446474,66126,0.49,13446474,0.49
007720,100800450,2555122,2.53,100800450,2.53
007770,3510000,83474,2.38,3510000,2.38
007820,20033946,452786,2.26,20033946,2.26
008290,20346839,784706,3.86,20346839,3.86
0082N0,13216780,346201,2.62,13216780,2.62
008370,12000000,151108,1.26,12000000,1.26
008470,8404800,144636,1.72,8404800,1.72
008830,8987520,215879,2.4,8987520,2.4
0088D0,5795000,9880,0.17,5795000,0.17
0088M0,9881750,332342,3.36,9881750,3.36
0091W0,6068000,7904,0.13,6068000,0.13
009300,6370000,107452,1.69,6370000,1.69
0093G0,6400000,33637,0.53,6400000,0.53
009520,41642703,2676332,6.43,41642703,6.43
009620,17473048,816814,4.67,17473048,4.67
