티커,BPS,PER,PBR,EPS,DIV,DPS
060310,933,0.0,1.42,0,0.0,0
054620,11700,0.0,0.37,0,0.0,0
079810,7818,953.75,0.49,4,0.0,0
265520,24853,14.17,0.92,1605,1.49,340
211270,7297,0.0,1.75,0,0.0,0
126600,6634,13.87,0.47,226,1.59,50
083790,1144,0.0,0.79,0,0.0,0
035760,134460,26.93,0.28,1422,0.0,0
311690,4105,0.0,1.19,0,0.0,0
051500,38342,5.98,0.62,3961,2.11,500
058820,1363,0.0,0.83,0,0.0,0
056730,4200,0.0,0.44,0,0.0,0
065770,1799,0.0,0.99,0,0.0,0
083660,229,0.0,1.02,0,0.0,0
477760,0,0.0,0.0,0,0.0,0
099520,509,0.0,2.52,0,0.0,0
290120,6278,3.02,0.43,888,3.72,100
025440,1084,0.0,0.71,0,0.0,0
068790,19235,0.93,0.28,5910,4.57,250
241520,4874,18.0,2.47,669,0.33,40
180400,954,0.0,2.87,0,0.0,0
418620,735,0.0,1.63,0,0.0,0
245620,0,2.03,0.0,204,0.0,0
037370,6992,0.0,0.49,0,0.0,0
050120,6819,0.0,0.41,0,0.0,0
214270,1408,0.0,0.99,0,0.0,0
032620,2787,4.33,1.13,729,1.58,50
130500,5566,0.0,0.37,0,0.0,0
083450,16838,20.41,3.07,2533,1.26,650
297890,3367,5.13,0.55,362,1.62,30
440290,3223,7.93,0.56,226,6.7,120
078150,3208,9.42,0.94,320,0.66,20
225530,2530,0.0,0.92,0,2.16,50
060560,5570,0.0,0.36,0,2.52,50
376270,698,0.0,67.34,0,0.0,0
195940,46890,15.42,0.88,2672,1.0,410
028300,3159,0.0,16.02,0,0.0,0
278650,5610,0.0,0.56,0,0.0,0
067630,2440,0.0,1.3,0,0.0,0
024850,7280,0.0,2.07,0,0.0,0
187420,1403,2.79,1.54,775,0.0,0
047920,3816,80.14,2.96,141,0.0,0
115450,1705,0.0,1.56,0,0.0,0
046210,1591,0.0,0.89,0,0.0,0
196300,2769,0.0,1.79,0,0.0,0
403870,3811,55.83,13.2,901,0.99,500
036640,8112,5.46,0.57,846,6.49,300
467930,0,0.0,0.0,0,0.0,0
469480,0,0.0,0.0,0,0.0,0
0099X0,0,0.0,0.0,0,0.0,0
095340,26223,73.64,7.7,2743,0.42,850
067290,729,5.49,1.85,245,0.0,0
035900,18730,10.98,2.84,4846,1.65,877
318000,5394,10.81,0.6,298,1.86,60
024840,3484,0.0,1.28,0,0.0,0
024120,10359,9.57,0.31,339,7.7,250
464680,0,0.0,0.0,0,0.0,0
478390,0,0.0,0.0,0,0.0,0
486630,0,0.0,0.0,0,0.0,0
492220,0,0.0,0.0,0,0.0,0
0037T0,0,0.0,0.0,0,0.0,0
0072Z0,0,0.0,0.0,0,0.0,0
021320,27706,2.22,0.18,2276,3.96,200
044180,528,0.0,0.39,0,0.0,0
151860,34152,2.58,0.15,1964,2.96,150
035600,18729,5.34,0.51,1798,6.24,600
046440,9858,6.3,0.41,644,6.17,250
060720,12563,11.83,0.87,925,3.34,365
058400,1720,7.53,0.37,85,3.91,25
101000,1025,0.0,0.64,0,0.0,0
089600,17839,17.1,0.57,596,6.87,700
418470,10150,5.58,1.02,1847,5.33,550
043610,2474,0.0,0.6,0,0.0,0
122450,8467,6.1,0.33,461,0.0,0
052900,2108,20.51,0.78,80,0.0,0
036560,36900,20.78,0.33,591,6.51,800
061970,4579,0.0,1.0,0,0.0,0
309960,5521,8.54,0.84,541,4.33,200
073490,21991,0.0,1.63,0,0.28,100
225190,472,0.0,3.14,0,0.0,0
060370,12341,141.4,2.46,215,0.53,160
417200,2736,2975.0,6.52,6,0.12,22
078020,14185,19.41,0.51,370,6.96,500
322180,3141,0.0,1.92,0,0.0,0
476080,5585,0.0,1.06,0,0.0,0
086960,3618,12.41,0.75,220,0.0,0
160550,3265,45.75,0.39,28,0.0,0
053290,4846,0.0,0.33,0,0.0,0
060250,7810,13.39,2.05,1195,1.56,250
104200,3749,0.0,0.88,0,0.0,0
054050,17324,9.18,0.41,767,3.55,250
063570,6019,14.29,0.56,234,4.19,140
222160,454,0.0,17.71,0,0.0,0
024940,5519,7.63,0.42,306,1.5,35
332570,2734,19.59,3.45,482,0.0,0
218410,13376,73.21,6.19,1131,0.48,400
327260,6163,90.54,12.43,846,0.0,0
474610,3732,24.09,2.56,396,0.0,0
091340,8631,7.49,0.26,295,0.0,0
419530,8830,7.05,2.84,3560,0.0,0
019550,1824,7.68,0.49,116,0.0,0
246960,719,0.0,2.52,0,0.0,0
099220,1215,0.0,0.77,0,0.0,0
036540,2884,0.0,2.49,0,0.0,0
255220,1130,0.0,1.74,0,0.0,0
040610,24694,1.99,0.13,1612,0.0,0
184230,1885,2.27,1.36,1125,0.0,0
016250,61780,0.0,0.19,0,0.0,0
357880,268,0.0,17.35,0,0.0,0
048550,843,0.0,1.01,0,0.0,0
063440,1461,9.08,0.74,119,0.0,0
067160,43822,5.05,1.1,9556,7.01,3380
289080,1313,0.0,1.86,0,0.0,0
041930,12809,2.92,0.43,1888,5.44,300
013720,960,0.0,0.46,0,0.0,0
089230,722,0.0,2.83,0,0.0,0
032540,4010,17.88,0.85,191,9.37,320
048770,2317,0.0,2.16,0,0.2,10
246690,2075,7.66,0.63,172,1.14,15
317240,1030,0.0,0.9,0,0.0,0
057030,3239,21.72,0.66,99,4.65,100
040300,4834,0.0,0.5,0,0.0,0
051390,10506,6.81,0.41,632,5.34,230
052220,2413,0.0,0.94,0,0.0,0
079940,13565,25.08,2.28,1232,0.32,100
078890,7147,15.72,0.87,395,1.13,70
399720,4714,0.0,10.61,0,0.0,0
036620,1485,13.1,3.41,387,0.0,0
198440,2208,91.36,0.46,11,0.0,0
217730,730,0.0,3.61,0,0.0,0
114190,1321,0.0,7.22,0,0.0,0
094480,3035,28.58,2.0,212,0.74,45
039240,4224,13.14,0.54,172,5.31,120
053950,6930,0.0,0.3,0,0.0,0
011040,7812,15.73,0.64,316,6.04,300
024910,3093,0.0,0.57,0,0.0,0
049720,4407,10.26,2.21,951,5.12,500
014570,7678,5.42,0.42,602,5.52,180
348150,1653,0.0,2.29,0,0.0,0
098460,5079,139.96,6.17,224,0.45,140
035290,2415,0.0,0.93,0,0.0,0
215000,73255,10.27,0.6,4269,9.12,4000
121440,19283,7.07,0.22,610,5.79,250
366030,3656,15.2,1.37,329,1.6,80
029480,3491,0.0,0.46,0,0.0,0
026910,3131,0.0,1.21,0,0.0,0
465320,0,0.0,0.0,0,0.0,0
482520,0,0.0,0.0,0,0.0,0
489210,0,0.0,0.0,0,0.0,0
0041B0,0,0.0,0.0,0,0.0,0
0098T0,0,0.0,0.0,0,0.0,0
0132G0,0,0.0,0.0,0,0.0,0
053270,5617,2.23,0.34,860,3.64,70
066620,47874,4.3,0.54,6006,1.93,500
043650,15068,9.07,0.24,397,2.22,80
006050,1546,15.06,0.49,50,0.0,0
060480,3816,167.56,0.4,9,1.99,30
078130,1060,0.0,3.24,0,0.0,0
307750,1920,0.0,1.31,0,0.0,0
035080,38707,0.0,0.22,0,2.32,200
318060,1893,0.0,12.6,0,0.0,0
453450,16771,59.74,0.96,270,0.0,0
204020,4344,8.27,0.45,238,5.84,115
0015G0,5602,95.28,3.61,212,0.0,0
402490,4219,18.98,2.79,619,0.0,0
114450,1930,392.5,1.22,6,0.0,0
186230,3534,0.0,0.98,0,0.0,0
204620,1993,9.48,2.4,504,0.0,0
019660,775,0.0,2.43,0,0.0,0
053260,8115,0.0,0.61,0,3.43,170
282720,7927,4050.0,1.02,2,0.0,0
