티커,종가,시가총액,거래량,거래대금,상장주식수
196170,332500,17817459047500,317313,106738419250,53586343
247540,180100,17619261163400,772457,142583134350,97830434
086520,118500,16089474012000,1023316,123906158200,135776152
277810,668000,12959105144000,136427,91893904000,19399858
036930,210000,9761035410000,2844075,621234552500,46481121
950160,99200,8405816160000,447677,46377510800,84736050
058470,94100,7171535085000,816528,77276039800,76211850
000250,292000,6849581824000,141111,42106520250,23457472
028300,50600,6739830083800,806277,41005871000,133198223
240810,132700,6513433662700,3153461,406860276850,49083901
087010,253500,5910948225000,124268,32127128000,23317350
039030,478000,5888744900000,206144,98825501750,12319550
298380,99800,5587548807400,381907,38716213300,55987463
440110,109800,5500631604600,1049939,116019531700,50096827
141080,136100,5038342789800,391446,55005188450,37019418
108490,320500,4697577474000,322728,102948340750,14657028
178320,70100,4460585464700,2522952,170591347600,63631747
095340,202000,4281805716000,251506,51290883700,21197058
214370,77800,4179027000000,134831,10589698550,53715000
403870,50300,4139690000000,9723522,498647784375,82300000
347850,92300,4043122768100,1457903,134996811900,43804147
222800,103000,3858784893000,1074009,108945479200,37463931
310210,209500,3855254824500,110782,23882168250,18402171
319400,33100,3686546890900,1342286,43992264125,111376039
319660,126500,3664289321000,1227232,152299354200,28966714
084370,156900,3595526989800,473525,73313529100,22916042
043260,48800,3461033762400,6030782,292043325775,70922823
080220,93500,3220404885500,1631657,158131248800,34442833
145020,246000,3026792118000,35030,8788440250,12304033
226950,148800,3020726750400,415718,64980536700,20300583
214450,286500,2976634152000,57099,16546704500,10389648
064760,264000,2951365824000,82369,21979653000,11179416
357780,363000,2823619458000,63867,23040246250,7778566
010170,18080,2811180732800,10531750,195106696465,155485660
005290,54900,2798259917400,658267,36309595700,50970126
214150,42850,2795347988150,189803,8354944075,65235659
067310,41850,2781527858100,1000556,42194235300,66464226
031980,126400,2725486728000,450547,57661218100,21562395
095610,139200,2694912000000,1107080,156094169800,19360000
131970,135600,2620773472800,353949,48602464750,19327238
263750,40500,2602038127500,421349,17175949300,64247855
237690,119500,2492941841000,119248,14411733050,20861438
032820,14200,2436793641200,3728530,54499731870,171605186
290650,86200,2324788484800,545357,46245260000,26969704
058610,103700,2299792232000,268129,27870817350,22177360
131290,206000,2278654374000,57819,11890830800,11061429
257720,34100,2236150193200,702937,24527911900,65576252
082920,48650,2205765556050,364097,17753284575,45339477
218410,82800,2198624997600,412499,34810773850,26553442
007390,33950,2187570151200,1481265,50946099350,64435056
098460,31350,2152326569250,1424380,44941389050,68654755
100790,39800,2114360433200,1108658,45334952975,53124634
083650,67300,2082556437500,232304,15683163500,30944375
089030,54700,2026834381500,1951604,106449549500,37053645
140860,284000,1988701196000,37043,10501829500,7002469
068760,43750,1942602025000,111036,4921790600,44402332
078600,122100,1908205295700,161788,19776732250,15628217
140410,62200,1890392787400,94887,6029936450,30392167
035900,53200,1890328574400,151245,8123669950,35532492
030530,24000,1853711544000,739659,17936787675,77237981
420770,144000,1825309152000,234406,33659487700,12675758
0009K0,26500,1713785766500,412851,11058147000,64671161
041510,74400,1703364936000,87601,6598521550,22894690
089970,68000,1684495660000,860519,60226736450,24771995
323280,54300,1658212314000,388111,21541052150,30537980
039200,41750,1597278848000,450986,19182992300,38258176
031330,15940,1593921367980,2033922,34171191680,99995067
060370,30400,1588061161600,149690,4549380050,52238854
347700,30700,1559999163500,839197,25684842700,50814305
096530,29850,1558945920900,286837,8612151300,52225994
445680,88900,1529369369500,106549,9806846650,17203255
437730,46500,1474401865500,151052,6972420850,31707567
476830,105100,1464446794200,179988,19421534950,13933842
090360,148100,1443975000000,4206111,627230371650,9750000
032500,32800,1383887792800,663830,22347915650,42191701
127120,39700,1374455526200,198708,7778064500,34621046
475830,63100,1357490807500,173497,11167226350,21513325
101490,62300,1329162961700,238585,14966826250,21334879
099320,119400,1307582593200,117110,13984662000,10951278
166090,63200,1249948996800,439919,28358559250,19777674
232140,14920,1224116622000,791019,11894855085,82045350
090710,10180,1216074265460,3065362,30965146460,119457197
417200,17850,1207599963150,1001203,17993185215,67652659
189300,111700,1199378414900,195307,21756014600,10737497
036540,7180,1180824975540,2930190,21247585200,164460303
003380,10540,1180539245340,704672,7472428990,112005621
397030,50200,1175374065200,336408,17356126850,23413826
027360,9700,1175110438200,3031159,29674263025,121145406
195940,41200,1167191509200,110839,4603303000,28329891
085660,12310,1144495734260,304131,3788138605,92972846
