티커,시가,고가,저가,종가,거래량,거래대금,등락률,시가총액
060310,1428,1428,1286,1325,882891,1177439379,-8.75,70303228000
054620,4335,4555,4150,4315,66112,281951795,-0.35,79371063615
079810,3895,3950,3735,3815,235229,901552060,-2.93,82129678610
265520,24150,24200,22650,22750,67380,1555779850,-6.57,342406177750
211270,13370,13370,12380,12800,141248,1801242870,-4.26,193053491200
126600,3205,3230,3095,3135,144233,453937080,-4.57,196774228365
083790,940,940,770,900,855084,708092421,-4.26,69204763800
035760,39350,40000,38200,38300,78735,3050963775,-2.67,839886598200
311690,4890,5060,4700,4880,31934,154713521,1.14,63759454560
051500,23600,24450,22850,23700,90406,2152024400,-3.07,281356588200
058820,1141,1160,1125,1134,358089,407637426,-1.56,167653035522
056730,1850,1883,1847,1855,741,1373321,-2.21,27495249635
065770,1865,1907,1750,1778,163006,291776413,-4.66,17256494570
083660,223,289,221,233,3422015,858083676,4.48,14639263947
477760,2050,2065,2040,2065,34788,71597004,0.0,12059600000
099520,0,0,0,1284,0,0,0.0,58141862016
290120,2730,2755,2665,2685,31055,83823650,-2.36,42490600245
025440,800,800,740,768,96815,72817080,-5.19,37463980032
068790,5670,5670,5300,5470,95446,517033185,-3.53,123459125280
241520,12780,13050,12000,12040,661425,8187924290,-6.81,320264000000
180400,2850,2855,2700,2740,114014,313461259,-2.84,269696643680
418620,1231,1231,1152,1195,149339,175571382,-2.85,23721320015
245620,0,0,0,415,0,0,0.0,57474989665
037370,3650,3650,3305,3445,25462,87684349,-5.36,29713028540
050120,2885,2885,2740,2800,7806,21630695,0.36,37979440800
214270,1392,1419,1324,1387,93439,127951439,-0.36,62768109395
032620,3250,3250,3115,3155,94675,298433714,-0.47,164681973545
130500,2090,2130,2000,2045,41268,84604450,-3.08,29744631340
900290,3400,3425,3100,3140,3974431,11709196821,-8.72,256852000000
083450,53200,54300,50400,51700,238691,12453856750,-6.0,952831000000
297890,1930,1930,1833,1856,379658,706845768,-3.58,135749536384
440290,1800,1807,1751,1792,61048,108175219,-0.44,49291522560
078150,3080,3100,2900,3015,2129286,6380997277,-4.89,279538486740
225530,2225,2325,2135,2315,97539,214868932,4.04,84124153005
060560,1985,1995,1910,1987,51295,100312746,0.1,50445957987
376270,49400,49400,46700,47000,18807,890168400,-4.57,338549789000
195940,42550,42800,40950,41200,110839,4603303000,-2.02,1167191509200
028300,52900,53000,49850,50600,806277,41005871000,-3.62,6739830083800
278650,3120,3195,3020,3150,57198,176705134,1.12,54912047400
067630,3205,3205,3075,3170,250800,781198541,-1.09,386477073860
024850,15420,15560,14650,15100,162201,2451837790,-0.13,479478514400
187420,2285,2380,2150,2160,123389,271933115,-2.48,70317257760
047920,11300,11670,11250,11300,66476,754258260,-2.59,370632722800
115450,2645,2700,2585,2655,370904,979942747,-0.38,235180189395
046210,1438,1459,1409,1420,47719,68096933,-2.27,64649703200
196300,5200,5200,4685,4960,17484,84043302,-1.59,46507137440
403870,46550,54800,45350,50300,9723522,498647784375,5.89,4139690000000
036640,4700,4755,4615,4620,58364,271327212,-1.6,75559176000
467930,2110,2110,2100,2105,1151,2417305,0.0,8904150000
469480,2480,2515,2380,2490,16157,40072735,1.01,10532700000
0099X0,2135,2145,2120,2145,24259,51892710,0.23,12827100000
095340,211000,216000,199700,202000,251506,51290883700,-5.61,4281805716000
950170,4890,4955,4780,4845,56547,274319752,-0.92,250711056060
067290,1470,1470,1345,1346,243738,333224181,-2.04,75425940638
035900,55100,55300,53000,53200,151245,8123669950,-3.97,1890328574400
318000,3340,3395,3220,3220,15986,52953315,-4.45,28143518060
024840,4560,4585,4105,4470,1959894,8508118629,1.25,183220338300
024120,3385,3390,3225,3245,26892,87439635,-1.96,37317500000
464680,2110,2110,2105,2110,494130,1041117740,0.0,27229550000
478390,2040,2055,2040,2040,4742,9688680,-0.73,12688800000
486630,2045,2070,2040,2065,20325,41939145,0.73,10965150000
492220,2025,2025,2010,2025,19267,38765265,-0.25,12575250000
0037T0,2010,2010,1988,1994,8224,16391572,-0.55,12622020000
0072Z0,1997,1997,1980,1997,2409,4784016,-0.05,15746345000
021320,5250,5250,4990,5050,29480,149178510,-3.99,108070000000
044180,0,0,0,205,0,0,0.0,5477148795
151860,5140,5160,4940,5070,161864,813000558,-2.12,241347220140
035600,9750,9800,9550,9610,86745,836764455,-1.84,264798110740
046440,4055,4120,4010,4055,67937,274938260,-0.73,154133802110
060720,11420,11480,10690,10940,203499,2237863700,-2.5,259031215480
058400,611,672,609,640,1451114,932125370,4.75,84755020800
101000,705,705,655,656,243770,164531380,-6.95,26005117888
089600,10200,10290,10150,10190,22707,231733350,-0.1,117879580970
418470,10230,10820,10030,10310,85603,889185980,0.78,88313284590
043610,1471,1497,1455,1484,48146,71015525,0.88,86243309992
122450,2810,2890,2760,2810,76540,214539945,-0.71,125943733540
052900,1725,1780,1634,1641,3703997,6265320858,-7.29,114018701712
036560,12250,12510,11970,12280,9727,117089010,0.41,193410000000
061970,5050,5050,4505,4575,1135574,5293247897,-10.12,265729752450
309960,4735,4735,4560,4620,56740,261376825,-2.43,107263644180
073490,39550,40700,35800,35800,199977,7374027625,-12.15,272217686800
225190,1506,1541,1425,1482,343350,500884555,-1.53,104434228080
