티커,상장주식수,보유수량,지분율,한도수량,한도소진률
000020,27931470,665097,2.38,27931470,2.38
000040,86375184,25662504,29.7,86375184,29.7
000050,27415270,713209,2.6,27415270,2.6
000070,7763191,638924,8.23,7763191,8.23
000080,70133611,4303943,6.14,70133611,6.14
000087,1130138,17801,1.58,1130138,1.58
000100,79647601,14701148,18.45,79647601,18.45
000105,1180940,5321,0.45,1180940,0.45
000120,22812344,3984058,17.45,22812344,17.45
000140,23206765,1658411,7.15,23206765,7.15
000145,470810,5842,1.24,470810,1.24
000150,16193835,3243283,20.03,16193835,20.03
000155,3996462,334106,8.36,3996462,8.36
000157,893038,19765,2.21,893038,2.21
000180,13950320,60887,0.44,13950320,0.44
000210,20955884,4309578,20.56,20955884,20.56
000215,1686115,122608,7.27,1686115,7.27
000220,17032351,325944,1.91,17032351,1.91
000225,2266930,44725,1.97,2266930,1.97
000227,325560,1050,0.32,325560,0.32
000230,11540400,330585,2.86,11540400,2.86
000240,94935240,9533433,10.04,94935240,10.04
000270,390412998,149510007,38.3,390412998,38.3
000300,41437055,371301,0.9,41437055,0.9
000320,13291151,359223,2.7,13291151,2.7
000325,243559,7179,2.95,243559,2.95
000370,116738915,14425021,12.36,116738915,12.36
000390,27203469,5227366,19.22,27203469,19.22
000400,310336320,2632272,0.85,310336320,0.85
000430,62000000,2285250,3.69,62000000,3.69
000480,46890490,429044,0.91,46890490,0.91
000490,28826865,895623,3.11,28826865,3.11
000500,16543115,99326,0.6,16543115,0.6
000520,21691811,823666,3.8,21691811,3.8
000540,64242645,1054188,1.64,64242645,1.64
000545,768000,86016,11.2,768000,11.2
000590,1154482,48523,4.2,1154482,4.2
000640,6732527,1015777,15.09,6732527,15.09
000650,1429220,1949,0.14,1429220,0.14
000660,712702365,365407346,51.28,712702365,51.28
000670,18410683,2987976,16.23,18410683,16.23
000680,78803016,1218915,1.55,78803016,1.55
000700,26041812,5473893,21.02,26041812,21.02
000720,111355765,28994037,26.05,111355765,26.05
000725,1054693,54614,5.18,1054693,5.18
000760,2800000,11812,0.42,2800000,0.42
000810,44647473,26001092,58.25,44647473,58.25
000815,3007020,932501,31.02,3007020,31.02
000850,2200000,227220,10.33,2200000,10.33
000860,13000000,721253,5.55,13000000,5.55
000880,70507919,15288372,21.69,70507919,21.69
00088K,19404441,5278077,27.2,19404441,27.2
000890,27624025,724111,2.62,27624025,2.62
000910,15611619,927564,5.94,15611619,5.94
000950,1680000,18901,1.13,1680000,1.13
000970,22800500,507022,2.22,22800500,2.22
000990,43504588,11225001,25.8,43504588,25.8
001020,35596662,82240,0.23,35596662,0.23
001040,29176998,4878094,16.72,29176998,16.72
001045,2260223,329352,14.57,2260223,14.57
00104K,4226512,163507,3.87,4226512,3.87
001060,23285930,1925706,8.27,23285930,8.27
001065,341951,1067,0.31,341951,0.31
001067,209973,359,0.17,209973,0.17
001070,5300000,118866,2.24,5300000,2.24
001080,41500000,106099,0.26,41500000,0.26
001120,38760000,10115471,26.1,38760000,26.1
001130,16900000,1241947,7.35,16900000,7.35
001200,96866418,12533584,12.94,96866418,12.94
001210,61880083,9189894,14.85,61880083,14.85
001230,155507715,20347985,13.08,155507715,13.08
001250,82533764,6850525,8.3,82533764,8.3
001260,9832572,205951,2.09,9832572,2.09
001270,10369886,98272,0.95,10369886,0.95
001275,3000000,302899,10.1,3000000,10.1
001290,108337120,1276345,1.18,108337120,1.18
001340,44973248,1014244,2.26,44973248,2.26
001360,94162079,2560614,2.72,94162079,2.72
001380,22482071,950377,4.23,22482071,4.23
001390,67233030,8790720,13.08,67233030,13.08
001420,7600000,207854,2.73,7600000,2.73
001430,35862119,2883697,8.04,35862119,8.04
001440,195992596,25916639,13.22,195992596,13.22
001450,85248250,32962530,38.66,85248250,38.66
001460,6246150,316944,5.07,6246150,5.07
001465,2153850,101497,4.71,2153850,4.71
001470,229681824,4443229,1.93,229681824,1.93
001500,61833044,1306932,2.11,61833044,2.11
001510,231295085,5303339,2.29,231295085,2.29
001515,1956257,18343,0.94,1956257,0.94
001520,238684063,10078655,4.22,238684063,4.22
001525,617731,3606,0.58,617731,0.58
001527,308569,0,0.0,308569,0.0
001530,20715621,1070208,5.17,20715621,5.17
001550,5192239,151609,2.92,5192239,2.92
001560,7600000,495612,6.52,7600000,6.52
001570,63967196,3241593,5.07,63967196,5.07
001620,22258606,338226,1.52,22258606,1.52
001630,5009861,142601,2.85,5009861,2.85
001680,34648025,5730484,16.55,34648025,16.55
001685,1370223,49593,3.62,1370223,3.62
001720,16440000,1002633,6.1,16440000,6.1
001740,200593889,27525518,13.72,200593889,13.72
001750,12728534,1607661,12.63,12728534,12.63
001755,525000,6122,1.17,525000,1.17
001770,1214878,0,0.0,1214878,0.0
001780,96830132,4910634,5.07,96830132,5.07
001790,86241915,0,0.0,86241915,0.0
001795,6482760,189402,2.92,6482760,2.92
001800,62645422,6124471,9.78,62645422,9.78
001820,10395000,718475,6.91,10395000,6.91
001940,14176380,1101558,7.77,14176380,7.77
002020,12907680,1524091,11.81,12907680,11.81
002025,1160437,222302,19.16,1160437,19.16
002030,2058852,126807,6.16,2058852,6.16
002070,2404344,0,0.0,2404344,0.0
002100,19522575,178889,0.92,19522575,0.92
002140,24939425,1406437,5.64,24939425,5.64
002150,33720000,344504,1.02,33720000,1.02
002170,3000000,110890,3.7,3000000,3.7
002200,33499941,551890,1.65,33499941,1.65
002210,96619507,611191,0.63,96619507,0.63
002220,26697460,275698,1.03,26697460,1.03
002240,27000000,1917965,7.1,27000000,7.1
002310,39449510,1738976,4.41,39449510,4.41
002320,15518616,765925,4.94,15518616,4.94
002350,97667877,10343174,10.59,97667877,10.59
002355,6500000,175834,2.71,6500000,2.71
002360,11113373,3553767,31.98,11113373,31.98
002380,8592896,1636915,19.05,8592896,19.05
002390,13763533,305082,2.22,13763533,2.22
002410,27479820,312463,1.14,27479820,1.14
002420,5969948,136754,2.29,5969948,2.29
002450,90530915,1679385,1.86,90530915,1.86
002460,10150000,240793,2.37,10150000,2.37
002600,600000,0,0.0,600000,0.0
002620,15973355,1560177,9.77,15973355,9.77
002630,118583005,1202937,1.01,118583005,1.01
