티커,BPS,PER,PBR,EPS,DIV,DPS
095570,10216,6.73,0.42,635,7.72,330
006840,31492,0.0,0.21,0,0.0,0
027410,18674,6.91,0.23,618,3.04,130
282330,76009,11.45,1.7,11303,3.17,4100
138930,34780,6.86,0.5,2512,4.26,735
001460,68791,15.53,0.53,2367,1.09,400
001465,0,0.0,0.0,0,1.62,405
001040,155346,43.03,1.18,4271,1.8,3300
079160,3444,0.0,1.3,0,0.0,0
00104K,0,0.0,0.0,0,2.03,3350
000120,207860,7.22,0.39,11347,0.98,800
011150,2447,26.54,0.85,78,0.0,0
011155,0,0.0,0.0,0,0.0,0
001045,0,0.0,0.0,0,4.17,3350
097950,440524,0.0,0.45,0,3.0,6000
097955,0,0.0,0.0,0,4.91,6050
000480,13605,0.0,0.34,0,8.75,410
000590,320744,4.19,0.22,16782,0.71,500
012030,2351,7.28,0.8,259,0.0,0
005830,179423,4.81,0.79,29597,5.34,7600
016610,27483,5.35,0.39,2029,5.07,550
000990,50326,27.65,3.45,6285,0.47,810
000300,874,41.58,4.81,101,0.0,0
001530,25027,0.0,0.93,0,0.43,100
015590,2640,0.0,0.89,0,0.0,0
000210,177828,0.0,0.28,0,0.0,0
000215,0,0.0,0.0,0,0.0,0
375500,126050,8.22,0.57,8746,1.24,890
37550L,0,0.0,0.0,0,2.05,890
37550K,0,0.0,0.0,0,4.13,940
007340,38780,7.58,1.06,5440,2.42,1000
004840,20966,18.6,0.21,232,1.85,80
155660,15284,4.36,0.27,935,6.13,250
069730,13053,2.98,0.39,1713,8.41,430
017860,15304,0.0,1.0,0,0.07,10
092780,11386,7.41,0.4,617,1.75,80
017940,349725,4.69,0.24,18124,5.35,4550
383220,50123,6.95,1.47,10611,3.66,2700
007700,59179,4.98,0.27,3218,3.12,500
114090,7137,15.58,1.66,761,3.49,414
078930,155303,8.78,0.48,8435,4.05,3000
006360,56462,25.82,0.49,1073,1.81,500
001250,6576,12.22,0.45,241,0.85,25
007070,39303,46.15,0.61,520,2.5,600
078935,0,0.0,0.0,0,5.79,3050
499790,43209,50.0,1.13,979,0.72,350
012630,59006,3.36,0.34,6057,2.21,450
039570,11616,14.42,0.66,534,5.84,450
089470,13772,3.15,0.29,1279,3.98,160
267270,104016,25.92,1.42,5698,0.37,550
009540,187883,12.36,2.02,30664,3.25,12300
267250,143153,19.93,1.9,13623,1.47,4000
443060,18397,36.92,12.07,6013,1.78,3950
071970,14413,13.52,4.57,4867,0.0,0
322000,37302,43.13,4.3,3721,0.0,0
267260,56366,46.97,16.96,20354,0.74,7100
329180,89025,42.29,7.46,15702,0.85,5661
097230,7416,38.16,2.93,570,0.0,0
014790,12211,11.24,0.22,234,0.0,0
003580,1457,0.0,1.06,0,0.0,0
204320,57793,25.92,0.96,2130,1.36,750
060980,118064,19.1,0.36,2251,4.65,2000
011200,28168,9.97,0.69,1951,3.6,700
035000,13081,6.9,0.57,1072,7.43,550
002460,45678,3.56,0.23,2916,7.23,750
487570,139520,9.88,0.37,5292,1.91,1000
298050,180761,0.0,1.1,0,1.26,2500
015360,29078,3.63,0.5,4003,7.43,1080
294870,50647,7.88,0.39,2476,3.59,700
175330,31738,7.12,0.81,3619,4.43,1140
234080,14245,5.98,0.78,1847,4.98,550
001060,15290,10.26,1.7,2534,2.5,650
001067,0,0.0,0.0,0,1.41,650
001065,0,0.0,0.0,0,3.02,675
096760,3858,4.39,0.96,841,5.83,215
008970,1363,0.0,0.99,0,0.0,0
105560,164669,11.14,1.04,15410,2.54,4367
002380,1063952,2.59,0.51,209201,2.77,15000
344820,86505,0.0,0.26,0,7.0,1600
009070,10550,6.41,0.43,707,1.65,75
009440,4547,0.0,0.17,0,0.0,0
119650,467,0.0,1.97,0,0.0,0
092220,8115,0.0,0.66,0,0.0,0
003620,7336,13.15,0.42,232,0.0,0
016380,21234,3.83,0.25,1394,5.62,300
001390,14858,4.29,0.3,1023,3.42,150
001940,93049,0.0,0.23,0,8.73,1850
025000,158214,4.62,0.31,10650,7.62,3750
092230,279950,3.99,0.29,20111,6.55,5250
000040,506,0.0,0.68,0,0.0,0
044450,24109,5.96,0.4,1619,4.66,450
030200,73231,7.59,0.74,7119,4.44,2400
033780,89409,17.54,2.01,10220,3.35,6000
058850,5605,3.89,0.43,616,4.18,100
058860,7801,2.18,0.33,1188,5.42,140
093050,61158,5.87,0.35,3646,3.27,700
003550,186173,25.71,0.66,4780,2.52,3100
034220,13208,33.58,1.15,453,0.0,0
051900,325224,0.0,0.76,0,0.81,2000
051905,0,0.0,0.0,0,2.04,2050
064400,30270,25.83,3.88,4549,1.57,1850
373220,86391,0.0,4.79,0,0.0,0
003555,0,0.0,0.0,0,4.29,3150
032640,20826,12.55,0.74,1221,4.31,660
011070,243532,80.44,4.76,14421,0.16,1880
066570,132659,56.85,2.28,5330,0.45,1350
066575,0,0.0,0.0,0,1.44,1400
037560,5845,109.78,0.43,23,0.0,0
051910,419617,0.0,0.83,0,0.57,2000
051915,0,0.0,0.0,0,1.31,2050
079550,65465,62.56,11.09,11604,0.41,2950
006260,180391,41.45,2.28,9903,0.61,2500
010120,13920,117.68,16.31,1929,0.26,600
000680,11323,0.0,0.27,0,0.0,0
229640,6898,43.4,8.73,1387,0.42,250
108320,69207,10.21,0.75,5081,2.89,1500
001120,77069,10.03,0.51,3943,5.06,2000
108670,83591,0.0,0.39,0,0.0,0
108675,0,0.0,0.0,0,0.0,0
383800,25745,4.57,0.31,1745,3.64,290
38380K,0,0.0,0.0,0,3.74,300
