티커,종가,시가총액,거래량,거래대금,상장주식수
005930,329000,1923425662032000,33725012,11191087320641,5846278608
000660,2070000,1475293895550000,5778751,12216749328700,712702365
005935,211000,169300323833000,5962640,1251818530500,802371203
402340,1258000,166003649588000,883256,1111167690500,131958386
005380,700000,143330436200000,1525982,1034123475500,204757766
009150,1757000,131236823872000,1612482,2807073718000,74693696
373220,414000,96876000000000,445122,183966503750,234000000
032830,412500,82500000000000,509906,207518563769,200000000
028260,460500,74678171050500,837033,382790206382,162167581
329180,664000,69694253400000,384815,254860522500,104961225
105560,171600,63981138078000,2955491,503487064800,372850455
012330,697000,63240610351000,935096,648061702000,90732583
000270,161100,62895533977800,1077583,171264223725,390412998
207940,1340000,62029874340000,47701,64347677500,46290951
034020,95600,61237645557600,3954422,374903489900,640561146
012450,1049000,54090007649000,185271,193149433000,51563401
055550,107500,51025343807500,3611830,383557051250,474654361
066570,303000,49354045314000,6066192,1871369405750,162884638
006400,568000,45772581040000,542951,309391668500,80585530
034730,625000,45314189375000,281675,173353768500,72502703
035420,255500,40081249768000,3143220,798990802250,156873776
068270,171400,37987958589600,603099,103498414550,221633364
267260,956000,34461061060000,127356,121918260500,36047135
042660,112200,34379582806800,998501,111710194700,306413394
010120,227000,34050000000000,675315,152085729750,150000000
086790,123600,33911853652800,1115521,137464060050,274367748
006800,56400,31559572032000,3519583,200504330800,559566880
298040,3380000,31516972240000,35963,121333002500,9324548
000810,695000,31029993735000,343227,238781792698,44647473
005490,390000,30904195530000,432637,167212768250,79241527
000150,1740000,28177272900000,132916,225359207000,16193835
011070,1160000,27453844120000,889526,1037783022500,23667107
042700,283000,26973352600000,967822,277477549250,95312200
009540,379000,26823010964000,274635,103115998750,70773116
010130,1265000,26404305785000,15191,19065999000,20872969
051910,349000,24636727707000,280325,96602047250,70592343
015760,38100,24458831333700,2208549,84811193125,641964077
010140,27750,24420000000000,5511503,153354990025,880000000
307950,836000,22926448952000,280045,228376320000,27423982
316140,31200,22903181184000,2400787,75212962750,734076320
017670,106400,22853661639200,2027663,217881970900,214790053
267250,271500,21446622577500,143210,38766085750,78993085
064350,191400,20889834880200,408005,77632397650,109142293
018260,252500,19537894500000,611726,153659296000,77377800
096770,114900,19424165341200,399657,45843699900,169052788
003550,122900,18953832796500,932545,113051011200,154221585
033780,179300,18613214760800,229262,41213640000,103810456
003670,209000,18589759980000,204019,42646985000,88946220
011200,19450,18345978516500,1254965,24405259010,943237970
138040,107300,17956362392900,279894,30052639200,167347273
272210,94600,17871774199400,563301,52741693000,188919389
035720,40250,17781023459500,1968515,79174958150,441764558
024110,20650,16466844194850,1107061,22843695625,797425869
079550,726000,15972000000000,122624,89080443000,22000000
086280,209500,15712500000000,262448,54042922250,75000000
000720,131900,14687825403500,528781,68873044300,111355765
278470,389000,14563442295000,270942,105966159500,37438155
071050,246500,13736457028000,417721,105103572250,55725992
030200,54000,13609170990000,696310,37602180251,252021685
047810,139000,13549039873000,527515,72692091150,97475107
006260,410500,12807600000000,172353,69970948250,31200000
010950,112800,12699338937600,206462,23116273350,112582792
259960,257500,11880275697500,138011,35390910000,46136993
064400,117500,11384098890000,2568262,302247210600,96885948
005940,31750,11313933715750,1730975,55097862075,356344369
0126Z0,444000,11048073756000,39162,17383198250,24883049
016360,123400,11019620000000,618179,76698802700,89300000
323410,23050,10997626072850,1157924,26432540125,477120437
047050,58500,10291483098000,405535,23434302350,175922788
443060,222000,9953028120000,164446,36419609750,44833460
039490,364000,9547107024000,123458,45537640750,26228316
028050,48350,9476600000000,1101720,52655037950,196000000
005830,142400,9327249697600,172623,24656147650,65500349
003490,24900,9168694458900,1525004,37983274125,368220661
454910,140300,9094243194000,6183662,859274636900,64819980
005387,260000,9090621800000,228197,58590609500,34963930
352820,209500,9029921165500,154998,32421039750,43102249
047040,21750,8937241126500,5183067,112474827675,410907638
007660,120900,8875174577100,1220122,147686026250,73409219
000880,125300,8834642250700,261277,32009765300,70507919
003230,1120000,8436976800000,64958,74508374500,7533015
161390,67900,8411117185100,416690,28158977100,123875069
001440,39950,7829904210200,10168977,399919788725,195992596
180640,115000,7677662085000,112602,13037189900,66762279
034220,15210,7605000000000,9351390,141702341420,500000000
