티커,시가,고가,저가,종가,거래량,거래대금,등락률,시가총액
095570,4340,4340,4165,4275,168187,709161525,-1.61,193455544725
006840,6910,6910,6500,6600,14243,94217000,-4.21,87433902600
027410,4225,4340,4145,4270,152414,650090533,-0.58,408710697570
282330,131300,140000,128600,129400,56547,7446438450,0.31,2236537436400
138930,17770,18100,17080,17240,1173612,20408487530,-0.17,5350038048920
001460,35800,36750,35150,36750,2863,102473250,1.66,229546012500
001465,24900,25000,23950,25000,798,19546300,-0.4,53846250000
001040,178400,186900,168400,183800,219517,39389188750,3.84,5362732232400
079160,4315,4540,4315,4490,348564,1559428871,1.81,743464908650
00104K,160400,165700,150100,165000,8878,1421105200,2.61,697374480000
000120,83400,83400,80600,81900,73850,6015416750,-0.85,1868330973600
011150,2100,2120,2005,2070,101378,209987333,-2.36,74376700110
011155,10000,10000,9870,9870,2332,23131130,-7.67,1974000000
001045,81900,81900,78200,80400,5794,459829200,-1.83,181721929200
097950,201500,202500,197600,200000,58206,11629557500,-0.5,3010837200000
097955,124400,124500,122900,123100,5127,632534300,-1.05,163407002300
000480,4700,4700,4600,4685,65030,301679576,-0.43,219681945650
000590,71600,71600,70300,70300,1512,106891200,-2.5,81160084600
012030,1986,1986,1795,1886,1193605,2253251617,-5.37,379414037638
005830,145900,149700,139600,142400,172623,24656147650,-1.59,9327249697600
016610,11130,11290,10620,10850,73160,793680995,-1.63,460543320650
000990,168600,178200,166000,173800,538155,92641106250,-1.47,7561097394400
000300,0,0,0,4200,0,0,0.0,174035631000
001530,22900,24750,22500,23300,62427,1454024800,-0.85,482673969300
015590,2395,2415,2245,2355,158765,366851263,-1.67,125748305340
000210,51700,51700,48550,50100,60859,3028810450,-2.15,1049889788400
000215,24000,24000,21900,22150,2112,47331300,-2.21,37347447250
375500,70700,72100,68900,71900,447468,31525181050,0.56,2782071493700
37550L,43000,44550,41250,43500,2674,113605700,-0.23,91869868500
37550K,23250,23250,22250,22750,6357,143452100,-2.15,48090883750
007340,41500,41900,39500,41250,172858,7035512075,-1.08,2413573181250
004840,4430,4490,4290,4315,42237,183424283,-2.6,83160250660
155660,4065,4075,3990,4075,24627,99222535,0.25,65200000000
069730,4980,5110,4920,5110,34853,174830555,2.0,73584000000
017860,15660,15860,15070,15250,89198,1361758720,-4.09,270826869750
092780,4615,4750,4330,4570,44581,201465654,-1.83,60179862200
017940,84500,86900,83000,85000,10441,878840300,-1.51,583100000000
365550,3645,3675,3520,3575,398982,1435971707,-2.05,879768175000
383220,71700,74600,70900,73700,122773,9000442000,2.79,2823231427500
007700,16280,16620,16020,16030,14840,239401475,-2.49,627003303010
114090,11610,11930,11140,11860,469158,5444394095,3.22,733608246200
078930,76300,76300,71600,74100,193277,14170180750,-2.88,6883556179500
006360,27950,28000,26650,27700,726693,19847159150,-2.46,2370607273000
001250,3005,3020,2905,2945,722105,2125722442,-1.83,243061934980
007070,23600,24700,23000,24000,197440,4674522500,2.56,2006577960000
078935,54300,55100,52400,52700,20645,1090762250,-3.83,93788925200
499790,46000,50300,45400,48950,346033,16561826000,9.14,970719666950
012630,20350,20750,20000,20350,116235,2349428550,-0.73,1215744022350
039570,7770,7840,7570,7700,22562,172563160,-0.9,199873527700
089470,4100,4100,3970,4025,67056,269651447,-0.98,128397500000
267270,147700,151200,143800,147700,195528,28889530300,-0.67,7078064186900
009540,379500,385000,368000,379000,274635,103115998750,-0.13,26823010964000
267250,278000,279000,262000,271500,143210,38766085750,-3.04,21446622577500
443060,222500,227000,215000,222000,164446,36419609750,0.91,9953028120000
071970,66200,67700,63500,65800,166767,10941529900,-2.23,2232034371000
322000,175000,177000,158900,160500,170510,27774897100,-9.58,1797600000000
267260,996000,997000,931000,956000,127356,121918260500,-4.3,34461061060000
329180,649000,679000,645000,664000,384815,254860522500,2.0,69694253400000
097230,21800,22400,21250,21750,620247,13535358050,-2.03,1963923732000
014790,2730,2730,2585,2630,87343,229177620,-3.66,99568120630
003580,1515,1667,1501,1544,143565,223228188,0.98,78224451720
204320,56700,57000,52900,55200,356244,19409575650,-4.17,2592033024000
060980,43700,44300,41900,43000,36753,1571674625,-2.38,390390421000
011200,19670,19750,19200,19450,1254965,24405259010,-0.87,18345978516500
035000,7400,7490,7300,7400,26837,197764390,0.0,119936565600
002460,10500,10580,10230,10380,12105,125747030,0.0,105357000000
487570,53800,53800,51700,52300,11620,606986200,-2.79,194865982100
298050,208000,208000,194100,198500,18500,3656819600,-5.02,889269678000
015360,14990,14990,14330,14540,28450,412767995,-0.55,396215000000
294870,19420,19860,18850,19510,259050,5031505295,0.46,1285852008300
175330,26850,27450,25300,25750,542090,14177277475,-0.39,4847529788000
204210,838,1150,830,830,1555941,1423506220,1.84,6496256450
234080,11120,11220,10900,11040,67244,740597475,-0.63,174813476160
001060,26250,26900,25500,26000,55046,1431487100,-0.57,605434180000
001067,44800,46000,44450,46000,89,4029300,0.88,9658758000
001065,22300,22350,22150,22350,310,6924850,0.0,7642604850
096760,3740,3775,3665,3690,92563,342760190,-0.67,272783035980
008970,1340,1366,1320,1350,555374,745834193,-1.17,140085324450
105560,171500,175700,166000,171600,2955491,503487064800,4.51,63981138078000
415640,9700,9740,9630,9680,90527,875493815,0.62,1186240904640
432320,1424,1482,1415,1473,869169,1264357862,3.44,222075791805
002380,570000,573000,524000,542000,32420,17599568000,-6.39,4657349632000
344820,22750,23050,22450,22850,33471,759011725,-0.87,364926199200
009070,4520,4645,4470,4535,103173,468850720,-0.55,136050000000
009440,0,0,0,756,0,0,0.0,17568790596
119650,0,0,0,918,0,0,0.0,100782913662
092220,5060,6500,4970,5350,6810950,39635190400,4.09,214816559800
003620,3160,3160,3010,3050,1090321,3330342537,-3.02,617243481600
016380,5400,5580,5260,5340,401351,2143958820,-0.74,534047509980
001390,4430,4560,4330,4390,221864,973437440,-1.79,295153001700
001940,21500,21850,20500,21200,6676,139906250,-0.7,300539256000
025000,49600,49800,48700,49200,4604,225371450,-0.81,215432482800
092230,80400,81700,80000,80200,3555,286202700,-0.25,338816609200
000040,331,364,302,345,466204,154221758,3.92,29799438480
044450,9350,9800,9350,9650,103179,979566405,0.31,222778742000
030200,54300,55000,53100,54000,696310,37602180251,-0.92,13609170990000
033780,179600,182600,177300,179300,229262,41213640000,1.99,18613214760800
058850,2395,2410,2370,2395,102614,245238009,-0.83,99163657750
058860,2590,2620,2555,2585,51404,132744009,-0.96,89963170000
093050,21700,21850,21100,21400,39098,838420500,-1.61,625736000000
003550,120600,124900,116500,122900,932545,113051011200,-5.39,18953832796500
034220,15820,15880,14760,15210,9351390,141702341420,-5.65,7605000000000
051900,255000,257500,241500,248000,57327,14120023250,-2.36,3792232976000
051905,102300,102700,100000,100600,7628,767928250,-1.76,210883655400
064400,120500,125900,112900,117500,2568262,302247210600,-7.04,11384098890000
373220,422500,428500,405500,414000,445122,183966503750,-1.9,96876000000000
003555,75000,76500,71600,73400,26234,1924994100,-3.42,221022006600
032640,15300,15580,15010,15320,1117507,17020500790,-2.23,6502232854240
011070,1091000,1242000,1074000,1160000,889526,1037783022500,-1.11,27453844120000
066570,320000,336000,294500,303000,6066192,1871369405750,-7.62,49354045314000
066575,99900,104400,93500,96900,492277,47765790800,-5.09,1664867873100
037560,2615,2650,2375,2525,4526548,11359454599,-7.85,195553334125
051910,357000,359000,330000,349000,280325,96602047250,-0.85,24636727707000
051915,162500,162500,151600,156800,32119,5019308150,-3.45,1205603840000
079550,731000,741000,705000,726000,122624,89080443000,-0.95,15972000000000
006260,421000,428000,393000,410500,172353,69970948250,-5.74,12807600000000
010120,232000,235000,217000,227000,675315,152085729750,-5.22,34050000000000
000680,3060,3125,2995,3035,260058,791440094,-2.25,239167153560
229640,61400,61700,58600,60200,116788,7026550450,-4.9,1843617715800
108320,52200,55000,51000,51900,191628,10059563500,-0.76,844117170000
001120,39450,40300,38200,39550,152267,6024308425,1.15,1532958000000
108670,31800,32900,31600,32250,38866,1250435550,0.94,289207357500
108675,16090,16130,15900,16090,3713,59198720,0.06,16610189700
383800,8160,8200,7960,7970,164485,1319711525,-1.36,607957099300
38380K,8260,8260,8000,8020,8447,68556410,-1.11,11751585700
023150,4015,4095,3870,4030,30675,122181400,3.2,29735459780
035420,254500,266500,245000,255500,3143220,798990802250,-4.49,40081249768000
036570,280000,284500,271500,281500,139003,38793075500,-2.76,6064642193000
181710,45050,51000,43350,49050,388359,18679048825,4.58,1606541467950
400760,2950,2985,2915,2945,113171,332692858,-0.34,161766714875
005940,32000,33300,31200,31750,1730975,55097862075,0.47,11313933715750
005945,25500,26000,24800,24850,84999,2131970525,-2.17,468943554800
338100,3690,3795,3625,3630,59646,218237267,-1.63,67735800000
034310,12520,12520,12240,12490,62535,776161450,-0.24,459096890930
030190,14330,14400,13950,14100,89466,1260375505,-1.61,830652530700
008260,3050,3070,2990,3035,59095,178223072,-1.3,86801355095
004250,3100,3100,2970,3035,38475,115209906,0.33,111445200000
004255,2140,2140,2035,2035,8746,17963875,-2.63,10744800000
456040,119000,119400,110200,113500,31989,3664108600,-5.5,1016108182500
010060,305000,309000,285000,298500,211984,62508158500,-4.17,5573064252000
178920,22500,22750,21450,21800,189822,4140477850,-5.63,640185819600
001340,5860,6070,5720,5790,469833,2734490270,-3.5,260395105920
005490,401500,405000,375000,390000,432637,167212768250,-2.99,30904195530000
010950,114400,114400,110500,112800,206462,23116273350,-1.48,12699338937600
010955,54700,54800,53000,54000,13623,734078500,-1.28,217184058000
034120,12920,13040,12750,12840,19479,250068230,-1.23,238197895920
003080,2265,2315,2185,2215,251446,564147982,-2.42,44344300000
005090,48600,48600,44750,46850,56595,2669798250,-2.4,675077251050
001380,1552,1567,1413,1546,76229,115622233,-1.09,34757281766
004060,3010,3135,2845,2890,150694,443903692,-3.67,58500813440
001770,13600,13600,12950,13110,619,8231185,-1.72,15927050580
002360,1981,1998,1850,1935,70106,134784571,-2.27,21504376755
009160,4885,4955,4585,4735,132009,618661087,0.0,309531533480
033530,7050,7050,6760,6840,150592,1032082390,-2.98,190295373240
123700,3350,3400,3175,3190,36942,118678740,-4.78,49779624620
025530,3445,3445,3335,3350,42894,143604302,-2.62,50028926800
034730,648000,648000,585000,625000,281675,173353768500,-6.44,45314189375000
011790,150200,151100,139000,142300,692465,99864373900,-8.72,5388658805400
018670,224500,227500,217500,221500,11987,2682803500,-0.89,2050479546000
001740,12000,12270,10900,10900,9244652,104035831840,-16.22,2186473390100
006120,46150,47050,45200,45450,18366,839014825,-2.78,791454982950
006125,37900,37950,37150,37900,877,33012525,-0.13,46681619500
210980,11760,11990,11760,11800,13486,159785930,-1.67,219685107600
395400,4990,5070,4950,4995,231677,1162165830,0.1,1503583011900
302440,41700,41950,39900,39950,144750,5846742200,-3.62,3134339292350
326030,92300,92800,87600,88100,279400,24869616400,-2.65,6899397325000
402340,1332000,1334000,1225000,1258000,883256,1111167690500,-7.57,166003649588000
361610,18550,18660,17740,17800,182186,3276412260,-4.97,1455810380000
100090,16050,16310,15410,15780,350100,5532177495,-3.6,985904875620
03473K,390500,390500,354500,370000,3979,1474288500,-8.07,209469950000
096770,119500,119500,112000,114900,399657,45843699900,-1.63,19424165341200
096775,65500,65600,62500,64500,4268,271428950,-1.53,80523477000
475150,36050,36600,34600,35350,306239,10806305575,-4.46,1204268591400
001510,3285,3820,3150,3205,44478948,155727256907,0.16,741300747425
001515,5200,5920,5200,5470,46132,263211230,6.21,10700725790
285130,42700,42700,40050,41450,54452,2220240250,-1.31,717033850700
28513K,22850,22850,21150,21650,7354,157860150,-2.26,45799037850
017670,109400,112800,105000,106400,2027663,217881970900,-2.3,22853661639200
000660,2142000,2188000,2070000,2070000,5778751,12216749328700,-9.92,1475293895550000
003570,41750,44400,40350,42800,52187,2240521950,1.42,1423215431600
064960,28800,28900,27800,28650,74033,2096864550,-0.35,760378792800
100840,34600,35100,33050,33900,106918,3633451750,-5.31,701078543700
036530,49300,49800,47800,49350,28767,1394957650,-1.3,804596774100
000390,6610,6720,6480,6560,169729,1111965990,-1.65,178454756640
011810,0,0,0,3530,0,0,0.0,109493282310
465770,2895,2930,2725,2880,66196,185874765,1.95,20652572160
077970,34500,35000,32700,33600,309313,10429423025,-5.49,1348974916800
002820,2035,2035,1933,2000,43206,86383847,-1.72,25215978000
002170,51700,51900,51200,51400,1049,53962900,-0.39,154200000000
084870,1845,1863,1774,1810,8064,14583288,-2.84,37029443360
002710,13200,13610,12690,12850,127255,1649977080,-5.58,336846006450
069260,16190,16330,15830,15950,93463,1489876030,-0.5,652013478600
007980,1761,1761,1702,1737,259396,448968790,-1.36,81460696950
002900,6580,6600,6290,6420,178895,1145900615,-1.98,265788000000
024070,1842,1892,1836,1885,20691,38525692,2.61,28890335630
037270,3675,3840,3655,3675,400616,1481089390,-2.26,233961929250
139130,17940,18260,17370,17700,458004,8140926360,0.4,2843055119100
000500,324500,324500,295000,306500,63989,19660986000,-9.45,5070464747500
000860,12530,12770,12220,12600,15604,196367055,1.53,163800000000
035250,15100,15250,14840,15060,642671,9627781585,0.6,3221943930000
011420,1425,1487,1412,1469,86302,125034067,3.09,40470427036
002100,8950,9050,8870,9000,25298,226126600,0.56,175703175000
009450,68700,68700,66400,67700,39390,2648809400,-1.46,986293678400
267290,20700,21000,20550,20750,6315,130355300,0.24,122329674500
012320,50000,50700,48400,49000,6797,334531050,-2.58,115886127000
000050,8200,8310,8010,8150,49100,401187975,-1.81,223434450500
214390,5500,5630,5320,5400,56110,303912085,-3.23,129097044000
012610,4205,4255,4010,4060,421314,1723183743,-3.45,168962441900
009140,28000,28000,26150,27000,6632,177169150,-3.57,42411519000
013580,20600,20700,19620,20000,79545,1588322865,-2.44,178618140000
012200,6820,6900,6510,6740,471214,3171148580,-1.17,183481867460
012205,10150,10150,9780,10100,47222,476298450,0.5,11807697900
002140,1999,2005,1970,1990,68685,136500212,-0.25,49629455750
010130,1319000,1319000,1223000,1265000,15191,19065999000,-3.88,26404305785000
002240,18860,19800,18210,18490,34368,638903615,-2.22,499230000000
009290,6450,6470,6230,6270,145718,920327250,-2.49,312244796160
017040,0,0,0,932,0,0,0.0,40390657180
017900,9400,9400,8500,8720,915703,8028467765,-9.92,505269613360
037710,35400,35600,35000,35550,16622,587529525,0.99,271145964600
030610,11900,12000,11150,11410,76020,870109330,-2.48,1300317385010
339770,4065,4065,3930,4045,104275,416375350,0.37,202108748600
