balance_usd,balance_usd_mom_pct,balance_usd_yoy_pct,export_kg,export_kg_mom_pct,export_kg_yoy_pct,export_unit_usd_per_kg,export_unit_usd_per_kg_mom_pct,export_unit_usd_per_kg_yoy_pct,export_usd,export_usd_mom_pct,export_usd_yoy_pct,hs_group,import_kg,import_kg_mom_pct,import_kg_yoy_pct,import_unit_usd_per_kg,import_unit_usd_per_kg_mom_pct,import_unit_usd_per_kg_yoy_pct,import_usd,import_usd_mom_pct,import_usd_yoy_pct,item_count,month,name,reason,source,theme
4640251943.0,,,1509055.0,,,6450.9006,,,9734763828.0,,,8542,707214.0,,,7203.6355,,,5094511885.0,,,20,202407,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
4962943972.0,6.95,,1500848.0,-0.54,,6751.8851,4.67,,10133553200.0,4.1,,8542,650033.0,-8.09,,7954.3796,10.42,,5170609228.0,1.49,,20,202408,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
5896174590.0,18.8,,1533375.0,2.17,,7387.0025,9.41,,11327044992.0,11.78,,8542,655113.0,0.78,,8289.975,4.22,,5430870402.0,5.03,,20,202409,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
5211356328.0,-11.61,,1495474.0,-2.47,,7247.0179,-1.9,,10837726804.0,-4.32,,8542,639866.0,-2.33,,8793.0449,6.07,,5626370476.0,3.6,,20,202410,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
4981640062.0,-4.41,,1509647.0,0.95,,6904.6126,-4.72,,10423527651.0,-3.82,,8542,594708.0,-7.06,,9150.5202,4.07,,5441887589.0,-3.28,,20,202411,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
5892537657.0,18.29,,1492976.0,-1.1,,7817.9718,13.23,,11672044281.0,11.98,,8542,647795.0,8.93,,8921.8142,-2.5,,5779506624.0,6.2,,20,202412,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
3346924511.0,-43.2,,1365874.0,-8.51,,6053.9916,-22.56,,8268989656.0,-29.16,,8542,592842.0,-8.48,,8302.4906,-6.94,,4922065145.0,-14.84,,20,202501,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
3357902242.0,0.33,,1383521.0,1.29,,5863.5841,-3.15,,8112391734.0,-1.89,,8542,621732.0,4.87,,7647.1687,-7.89,,4754489492.0,-3.4,,20,202502,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
5148846002.0,53.34,,1569012.0,13.41,,6663.5421,13.64,,10455177574.0,28.88,,8542,660194.0,6.19,,8037.5338,5.1,,5306331572.0,11.61,,20,202503,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
5039418908.0,-2.13,,1590024.0,1.34,,6148.3024,-7.73,,9775948355.0,-6.5,,8542,645126.0,-2.28,,7342.0223,-8.65,,4736529447.0,-10.74,,20,202504,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
6955565562.0,38.02,,1579554.0,-0.66,,7327.7372,19.18,,11574556621.0,18.4,,8542,665418.0,3.15,,6941.488,-5.46,,4618991059.0,-2.48,,20,202505,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
7153008663.0,2.84,,1605437.0,1.64,,7633.6288,4.17,,12255310096.0,5.88,,8542,656283.0,-1.37,,7774.5446,12.0,,5102301433.0,10.46,,20,202506,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
6917051875.0,-3.3,49.07,1699754.0,5.87,12.64,7229.7013,-5.29,12.07,12288713721.0,0.27,26.24,8542,701087.0,6.83,-0.87,7661.9048,-1.45,6.36,5371661846.0,5.28,5.44,20,202507,반도체/집적회로,한국 수출 사이클 핵심,Korea Customs Itemtrade,반도체
