ticker,target_price,opinion_score,opinion_text
005930,427917.0,4.04,매수
000660,2712083.0,4.0,매수
005935,427917.0,4.04,매수
402340,1291429.0,4.0,매수
005380,787308.0,4.0,매수
009150,1679600.0,4.0,매수
373220,576565.0,3.96,매수
032830,361700.0,3.6,매수
028260,475769.0,4.0,매수
329180,916600.0,4.0,매수
012330,744000.0,4.0,매수
000270,227400.0,4.0,매수
034020,151313.0,4.0,매수
066570,166750.0,4.0,매수
207940,2083500.0,4.0,매수
105560,203053.0,4.0,매수
012450,1831667.0,4.0,매수
006400,840913.0,3.96,매수
034730,761385.0,4.0,매수
055550,127833.0,4.0,매수
035420,303762.0,4.0,매수
068270,261870.0,4.0,매수
010120,256923.0,4.0,매수
267260,1468571.0,4.0,매수
042660,170316.0,4.0,매수
298040,4615385.0,4.0,매수
006800,78688.0,3.29,중립
086790,156947.0,4.0,매수
005490,582765.0,4.0,매수
000150,2297273.0,4.0,매수
011070,1036810.0,4.0,매수
000810,659824.0,3.88,매수
010130,1903750.0,4.0,매수
009540,592857.0,4.0,매수
017670,111882.0,3.76,매수
042700,380000.0,4.0,매수
051910,465813.0,3.81,매수
307950,642188.0,3.81,매수
010140,40611.0,4.0,매수
015760,56467.0,3.75,매수
018260,224200.0,4.0,매수
064350,311944.0,4.0,매수
316140,44200.0,4.0,매수
267250,395000.0,4.0,매수
003550,142000.0,4.0,매수
003670,288750.0,3.65,매수
096770,173182.0,3.83,매수
247540,252611.0,3.74,매수
033780,217692.0,4.0,매수
196170,566667.0,4.0,매수
035720,72053.0,4.0,매수
011200,22300.0,3.17,중립
272210,150583.0,3.77,매수
138040,148000.0,3.8,매수
086280,324353.0,4.0,매수
024110,28333.0,3.69,매수
079550,1140000.0,3.94,매수
278470,508421.0,4.0,매수
000720,222900.0,3.95,매수
277810,915000.0,4.0,매수
047810,223188.0,3.94,매수
030200,75813.0,4.0,매수
071050,345875.0,4.0,매수
006260,605556.0,4.0,매수
064400,95222.0,4.0,매수
010950,144200.0,4.0,매수
259960,382778.0,4.0,매수
0126Z0,620000.0,3.5,매수
005940,42861.0,3.94,매수
454910,145000.0,4.0,매수
016360,164667.0,3.89,매수
047050,103733.0,4.0,매수
323410,30625.0,3.67,매수
443060,328750.0,4.0,매수
007660,178750.0,4.0,매수
005387,787308.0,4.0,매수
028050,66417.0,4.0,매수
039490,566706.0,3.94,매수
005830,219188.0,3.88,매수
047040,34600.0,3.73,매수
003490,32231.0,3.92,매수
352820,387250.0,4.0,매수
036930,154500.0,3.5,매수
950160,280000.0,4.0,매수
161390,84000.0,4.0,매수
003230,1865000.0,4.0,매수
000880,176200.0,4.0,매수
034220,17500.0,4.0,매수
001440,53667.0,4.0,매수
353200,174231.0,4.08,매수
000990,209000.0,4.0,매수
036570,374167.0,4.0,매수
267270,233667.0,4.0,매수
058470,143857.0,4.0,매수
009830,53992.0,3.54,매수
326030,148333.0,4.0,매수
062040,326500.0,4.0,매수
032640,20000.0,3.87,매수
078930,97500.0,3.8,매수
021240,131250.0,4.0,매수
005385,787308.0,4.0,매수
128940,671333.0,4.0,매수
000100,131923.0,4.0,매수
