rcept_dt,corp_name,stock_code,report_nm,rcept_no,event_type
20260605,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260605800729,insider
20260605,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260605000520,insider
20260528,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260528800984,insider
20260528,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260528000754,insider
20260416,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등거래계획보고서,20260416000458,insider
20260406,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260406800826,insider
20260406,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260406003923,insider
20260326,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260326802438,insider
20260326,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20260326001017,insider
20260326,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260326000988,insider
20260320,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260320801826,insider
20260320,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260320000996,insider
20260305,HS효성첨단소재,298050,현금ㆍ현물배당결정              ,20260305801629,dividend
20260223,HS효성첨단소재,298050,자기주식처분결과보고서,20260223003639,buyback
20260210,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등거래계획보고서,20260210000780,insider
20260206,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260206802371,insider
20260206,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260206001827,insider
20260202,HS효성첨단소재,298050,주식등의대량보유상황보고서(약식),20260202000995,insider
20260130,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260130801331,insider
20260130,HS효성첨단소재,298050,주요사항보고서(자기주식처분결정),20260130000705,buyback
20260130,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260130000524,insider
20260123,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260123800740,insider
20260123,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20260123000455,insider
20260123,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260123000406,insider
20260116,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20260116800721,insider
20260116,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20260116000352,insider
20251209,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등거래계획보고서,20251209000327,insider
20251203,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20251203800431,insider
20251203,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20251203000235,insider
20251126,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20251126800590,insider
20251126,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20251126000489,insider
20251119,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20251119800499,insider
20251119,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20251119000217,insider
20251119,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20251119000215,insider
20251112,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20251112800524,insider
20251112,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20251112000359,insider
20251001,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등거래계획보고서,20251001000708,insider
20250918,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250918800359,insider
20250918,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250918000323,insider
20250912,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250912800482,insider
20250912,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250912000406,insider
20250904,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20250904000381,insider
20250904,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250904800390,insider
20250904,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250904000371,insider
20250828,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250828800483,insider
20250828,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250828001256,insider
20250728,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20250728000309,insider
20250721,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등거래계획보고서,20250721000271,insider
20250627,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250627000757,insider
20250627,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250627800722,insider
20250620,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250620800484,insider
20250620,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250620000511,insider
20250619,HS효성첨단소재,298050,주식등의대량보유상황보고서(일반),20250619000268,insider
20250613,HS효성첨단소재,298050,최대주주등소유주식변동신고서              ,20250613800651,insider
20250613,HS효성첨단소재,298050,임원ㆍ주요주주특정증권등소유상황보고서,20250613000454,insider
