corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00150536,진양제약,007370,K,주식등의대량보유상황보고서(일반),20260605000664,최재준,20260605,
00946030,로보티즈,108490,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000659,김세형,20260605,
00150536,진양제약,007370,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000658,최윤환,20260605,
00870065,쓰리에이로직스,177900,K,주식등의대량보유상황보고서(일반),20260605000656,박광범,20260605,
00155586,HLB이노베이션,024850,K,주식등의대량보유상황보고서(일반),20260605000653,HLB,20260605,
01867758,한화비전,489790,Y,주식등의대량보유상황보고서(약식),20260605000651,OrbisInvestmentManagementLimited,20260605,
01189438,HLB바이오스텝,278650,K,주식등의대량보유상황보고서(일반),20260605000650,HLB,20260605,
00615723,알엔티엑스,123010,K,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20260605900861,알엔티엑스,20260605,코
01336461,뉴로메카,348340,K,임원ㆍ주요주주특정증권등거래계획보고서,20260605000648,박종훈,20260605,
01038693,드림시큐리티,203650,K,주식등의대량보유상황보고서(일반),20260605000643,범진규,20260605,
00138260,SIMPAC,009160,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000641,최민찬,20260605,
00628189,웅진씽크빅,095720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000637,곽태호,20260605,
01949195,하나36호스팩,0101C0,K,주식등의대량보유상황보고서(약식),20260605000636,더블유자산운용,20260605,
00628189,웅진씽크빅,095720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000635,임한우,20260605,
00162416,한양증권,001750,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000634,김병철,20260605,
00109824,대림통상,006570,Y,주식등의대량보유상황보고서(일반),20260605000633,디앤디파트너스,20260605,
00958327,지앤비에스 에코,382800,K,주식등의대량보유상황보고서(약식),20260605000631,J.P.MORGANSECURITIESPLC,20260605,
00628189,웅진씽크빅,095720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000629,안경숙,20260605,
00327396,옵트론텍,082210,K,주식등의대량보유상황보고서(일반),20260605000627,아이비케이키움사업재편사모투자,20260605,
00628189,웅진씽크빅,095720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000626,최일동,20260605,
01577952,지투지바이오,456160,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000622,이종미,20260605,
01311408,에코프로머티,450080,Y,임원ㆍ주요주주특정증권등거래계획철회보고서,20260605000621,김수연,20260605,
00231691,판타지오,032800,K,주식등의대량보유상황보고서(일반),20260605000619,아티스트,20260605,
01803635,에스투더블유,488280,K,주식등의대량보유상황보고서(일반),20260605000618,서상덕,20260605,
00628189,웅진씽크빅,095720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000616,웅진,20260605,
01577952,지투지바이오,456160,K,주식등의대량보유상황보고서(일반),20260605000612,이희용,20260605,
01326792,비투엔,307870,K,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20260605900799,비투엔,20260605,코
00168331,온타이드,005320,Y,최대주주등소유주식변동신고서              ,20260605800852,온타이드,20260605,유
01577952,지투지바이오,456160,K,[기재정정]주식등의대량보유상황보고서(일반),20260605000604,이희용,20260605,
00109824,대림통상,006570,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000603,디앤디파트너스,20260605,
01577952,지투지바이오,456160,K,[기재정정]주식등의대량보유상황보고서(일반),20260605000597,이희용,20260605,
